::ffff:76.174.179.0 - - [11/Jan/2016:18:08:55 +0000] "GET /assets/loading.gif HTTP/1.1" 200 30375 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:57 +0000] "GET /visitors?date=2016-01-10T08:00:00.000Z HTTP/1.1" 200 21083 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:58 +0000] "GET /currentmatches?date=2016-01-10T08:00:00.000Z HTTP/1.1" 200 4 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:08:58 +0000] "GET /hosts HTTP/1.1" 200 295557 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:17 +0000] "GET /match/?date=1452412800000 HTTP/1.1" 400 73 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:18 +0000] "GET /hosts HTTP/1.1" 200 295557 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:22 +0000] "GET /getAvailableData HTTP/1.1" 200 629 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:33 +0000] "POST /availability HTTP/1.1" 200 99 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:35 +0000] "GET /assets/loading.gif HTTP/1.1" 304 - "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:35 +0000] "GET /calendar?startDate=2016-01-11T00:00:00-08:00&endDate=2016-02-08T00:00:00-08:00 HTTP/1.1" 200 1595 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
::ffff:76.174.179.0 - - [11/Jan/2016:18:09:36 +0000] "GET /visitors?date=2016-01-10T08:00:00.000Z HTTP/1.1" 200 21083 "http://matchly.io/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36"
